iter	Passed	Remaining
0	2	919
1	4	990
2	8	1085
3	11	1104
4	13	1082
5	17	1126
6	19	1109
7	22	1084
8	24	1085
9	28	1093
10	30	1090
11	33	1093
12	36	1086
13	39	1091
14	42	1103
15	45	1100
16	48	1101
17	51	1100
18	54	1099
19	57	1099
20	60	1087
21	62	1082
22	65	1078
23	68	1071
24	70	1063
25	73	1059
26	75	1039
27	77	1030
28	80	1034
29	83	1030
30	86	1027
31	88	1017
32	90	1002
33	91	988
34	94	987
35	97	987
36	100	989
37	104	996
38	106	983
39	107	967
40	108	952
41	110	941
42	113	944
43	116	946
44	119	944
45	120	930
46	123	927
47	126	926
48	129	926
49	132	927
50	134	918
51	135	908
52	139	911
53	141	908
54	145	911
55	147	908
56	149	897
57	151	892
58	154	893
59	157	890
60	159	889
61	162	883
62	163	873
63	165	869
64	168	867
65	170	865
66	173	861
67	175	857
68	177	851
69	179	843
70	180	837
71	182	831
72	184	824
73	186	820
74	187	814
75	189	809
76	191	803
77	192	795
78	194	791
79	196	787
80	198	783
81	200	778
82	202	772
83	204	767
84	206	764
85	207	757
86	208	749
87	209	743
88	211	740
89	213	736
90	215	733
91	218	729
92	219	725
93	221	719
94	222	714
95	224	710
96	226	706
97	227	702
98	229	698
99	231	695
100	233	692
101	235	688
102	237	683
103	238	678
104	240	674
105	241	670
106	243	666
107	245	663
108	247	660
109	249	657
110	250	653
111	252	648
112	254	645
113	256	642
114	257	638
115	259	634
116	260	631
117	262	627
118	264	624
119	265	620
120	266	615
121	268	612
122	270	610
123	272	607
124	274	603
125	275	599
126	276	595
127	278	591
128	279	587
129	280	582
130	282	579
131	284	577
132	286	574
133	287	571
134	289	568
135	290	564
136	292	560
137	293	557
138	294	553
139	295	549
140	297	546
141	299	543
142	301	541
143	303	538
144	304	535
145	306	533
146	307	529
147	309	526
148	311	523
149	312	521
150	314	518
151	316	515
152	317	512
153	319	510
154	321	507
155	322	504
156	324	501
157	326	499
158	327	497
159	329	494
160	331	492
161	333	489
162	335	487
163	336	484
164	338	481
165	339	479
166	341	476
167	343	474
168	345	471
169	346	469
170	348	466
171	349	463
172	351	460
173	352	458
174	354	455
175	356	453
176	357	450
177	359	448
178	361	446
179	363	443
180	365	441
181	366	438
182	367	435
183	369	433
184	371	431
185	373	429
186	374	426
187	376	424
188	378	422
189	379	419
190	381	417
191	382	414
192	384	412
193	386	410
194	388	408
195	390	406
196	392	404
197	393	401
198	395	399
199	396	396
200	397	393
201	399	391
202	401	389
203	403	387
204	405	385
205	406	383
206	408	380
207	409	378
208	411	376
209	414	374
210	415	372
211	417	370
212	419	368
213	421	366
214	422	363
215	424	361
216	425	358
217	427	356
218	429	354
219	430	352
220	431	349
221	432	347
222	434	345
223	436	342
224	437	340
225	439	338
226	441	336
227	442	334
228	444	331
229	445	329
230	447	327
231	448	324
232	450	322
233	451	320
234	453	318
235	454	316
236	456	313
237	457	311
238	459	309
239	460	307
240	462	304
241	463	302
242	464	300
243	465	297
244	466	295
245	468	293
246	469	290
247	471	288
248	472	286
249	473	284
250	475	282
251	477	280
252	478	278
253	479	275
254	481	273
255	482	271
256	484	269
257	486	267
258	488	265
259	489	263
260	491	261
261	492	259
262	494	257
263	495	255
264	497	253
265	498	251
266	500	249
267	502	247
268	504	245
269	505	243
270	507	241
271	508	239
272	510	237
273	512	235
274	514	233
275	515	231
276	517	229
277	518	227
278	519	225
279	521	223
280	522	221
281	523	219
282	525	217
283	527	215
284	529	213
285	531	211
286	533	210
287	534	207
288	536	205
289	538	204
290	539	202
291	541	200
292	544	198
293	546	196
294	548	195
295	549	192
296	550	190
297	552	189
298	554	187
299	556	185
300	557	183
301	559	181
302	561	179
303	564	178
304	566	176
305	568	174
306	569	172
307	571	170
308	573	168
309	575	167
310	577	165
311	580	163
312	582	161
313	583	159
314	584	157
315	587	156
316	589	154
317	590	152
318	593	150
319	595	148
320	596	146
321	597	144
322	600	143
323	603	141
324	606	139
325	608	138
326	611	136
327	612	134
328	613	132
329	615	130
330	617	128
331	619	126
332	622	125
333	624	123
334	626	121
335	627	119
336	630	117
337	633	116
338	634	114
339	637	112
340	639	110
341	640	108
342	643	106
343	645	105
344	648	103
345	650	101
346	653	99
347	654	97
348	656	95
349	658	94
350	660	92
351	662	90
352	665	88
353	666	86
354	667	84
355	669	82
356	671	80
357	673	78
358	675	77
359	677	75
360	679	73
361	681	71
362	682	69
363	684	67
364	686	65
365	688	63
366	690	62
367	692	60
368	695	58
369	696	56
370	698	54
371	700	52
372	702	50
373	704	48
374	706	47
375	708	45
376	710	43
377	711	41
378	713	39
379	715	37
380	717	35
381	719	33
382	721	32
383	723	30
384	725	28
385	726	26
386	727	24
387	729	22
388	731	20
389	733	18
390	735	16
391	736	15
392	738	13
393	739	11
394	740	9
395	742	7
396	744	5
397	746	3
398	748	1
399	750	0
